,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
251,Demetrius Jackson,6,39,0.533,0.333,0.667,1.0,3.0,5.0,2.0,0.0,1.0,17.0
252,Frank Jackson,61,1169,0.434,0.314,0.507,0.74,134.0,69.0,25.0,2.0,48.0,17.0
253,Jaren Jackson Jr.,58,1515,0.506,0.359,0.553,0.766,272.0,64.0,52.0,82.0,98.0,17.0
254,Josh Jackson,79,1988,0.413,0.324,0.445,0.671,347.0,183.0,74.0,56.0,173.0,17.0
255,Justin Jackson,81,1614,0.447,0.355,0.542,0.785,212.0,96.0,32.0,14.0,29.0,17.0
256,Reggie Jackson,82,2289,0.421,0.369,0.464,0.864,216.0,344.0,55.0,9.0,148.0,17.0
257,LeBron James,55,1937,0.51,0.339,0.582,0.665,465.0,454.0,72.0,33.0,197.0,17.0
258,Amile Jefferson,12,68,0.625,0.0,0.625,0.875,21.0,3.0,3.0,3.0,1.0,17.0
259,John Jenkins,26,333,0.4,0.379,0.426,0.833,37.0,22.0,0.0,2.0,9.0,17.0
260,Jonas Jerebko,73,1218,0.459,0.367,0.563,0.8,288.0,96.0,27.0,18.0,43.0,17.0
261,Alize Johnson,14,64,0.25,0.5,0.214,0.5,19.0,1.0,1.0,3.0,0.0,17.0
262,Amir Johnson,51,529,0.503,0.3,0.573,0.756,147.0,60.0,16.0,13.0,45.0,17.0
263,B.J. Johnson,7,49,0.5,0.429,0.545,1.0,8.0,0.0,2.0,0.0,2.0,17.0
264,James Johnson,55,1164,0.433,0.336,0.496,0.714,176.0,135.0,35.0,27.0,74.0,17.0
265,Stanley Johnson,66,1208,0.389,0.288,0.484,0.781,217.0,88.0,60.0,14.0,81.0,17.0
266,Tyler Johnson,57,1529,0.413,0.346,0.477,0.748,173.0,166.0,54.0,27.0,77.0,17.0
267,Wesley Johnson,38,534,0.352,0.329,0.385,0.684,72.0,23.0,14.0,12.0,18.0,17.0
268,Nikola Jokić,80,2504,0.511,0.307,0.569,0.821,865.0,580.0,108.0,55.0,248.0,17.0
269,Damian Jones,24,410,0.716,0.0,0.716,0.649,75.0,28.0,12.0,25.0,16.0,17.0
270,Derrick Jones Jr.,60,1153,0.494,0.308,0.567,0.607,240.0,37.0,46.0,42.0,43.0,17.0
271,Jalen Jones,16,214,0.419,0.357,0.471,0.704,34.0,7.0,9.0,2.0,8.0,17.0
272,Jemerrio Jones,6,143,0.364,0.2,0.435,0.5,49.0,13.0,7.0,5.0,5.0,17.0
273,Terrence Jones,2,5,0.25,0.0,0.5,0.0,4.0,0.0,0.0,0.0,1.0,17.0
274,Tyus Jones,68,1560,0.415,0.317,0.453,0.841,134.0,327.0,81.0,5.0,47.0,17.0
275,DeAndre Jordan,69,2047,0.641,0.0,0.641,0.705,902.0,156.0,42.0,73.0,153.0,17.0
276,Cory Joseph,82,2063,0.412,0.322,0.454,0.698,279.0,321.0,94.0,22.0,80.0,17.0
277,Frank Kaminsky,47,755,0.463,0.36,0.553,0.738,163.0,63.0,12.0,12.0,41.0,17.0
278,Enes Kanter,67,1640,0.549,0.294,0.562,0.787,659.0,116.0,32.0,26.0,118.0,17.0
279,Luke Kennard,63,1437,0.438,0.394,0.486,0.836,183.0,114.0,26.0,10.0,57.0,17.0
280,Michael Kidd-Gilchrist,64,1179,0.476,0.34,0.498,0.772,246.0,61.0,32.0,39.0,43.0,17.0
281,George King,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
282,Maxi Kleber,71,1502,0.453,0.353,0.583,0.784,329.0,70.0,36.0,78.0,54.0,17.0
283,Brandon Knight,39,736,0.381,0.318,0.443,0.794,59.0,71.0,21.0,2.0,30.0,17.0
284,Kevin Knox,75,2158,0.37,0.343,0.387,0.717,335.0,82.0,43.0,24.0,114.0,17.0
285,Furkan Korkmaz,48,679,0.4,0.326,0.505,0.818,107.0,52.0,29.0,2.0,25.0,17.0
286,Luke Kornet,46,784,0.378,0.363,0.411,0.826,135.0,54.0,27.0,42.0,25.0,17.0
287,Kyle Korver,70,1334,0.416,0.397,0.467,0.822,162.0,81.0,25.0,12.0,59.0,17.0
288,Kosta Koufos,42,502,0.477,0.0,0.477,0.417,177.0,36.0,15.0,18.0,27.0,17.0
289,Rodions Kurucs,63,1294,0.45,0.315,0.543,0.783,246.0,52.0,41.0,25.0,77.0,17.0
290,Kyle Kuzma,70,2314,0.456,0.303,0.553,0.752,382.0,178.0,41.0,26.0,133.0,17.0
291,Skal Labissière,22,176,0.531,0.462,0.556,0.529,43.0,11.0,5.0,6.0,11.0,17.0
292,Jeremy Lamb,79,2250,0.44,0.348,0.487,0.888,434.0,172.0,88.0,32.0,80.0,17.0
293,Zach LaVine,63,2171,0.467,0.374,0.504,0.832,294.0,283.0,60.0,26.0,215.0,17.0
294,Jake Layman,71,1327,0.509,0.326,0.646,0.704,217.0,53.0,31.0,30.0,46.0,17.0
295,T.J. Leaf,58,522,0.541,0.258,0.599,0.613,125.0,24.0,9.0,19.0,12.0,17.0
296,Courtney Lee,34,428,0.411,0.291,0.5,0.667,54.0,37.0,21.0,3.0,14.0,17.0
297,Damion Lee,32,375,0.441,0.397,0.492,0.864,64.0,13.0,13.0,0.0,11.0,17.0
298,Walt Lemon Jr.,6,167,0.437,0.4,0.439,0.727,27.0,30.0,11.0,1.0,10.0,17.0
299,Alex Len,77,1544,0.494,0.363,0.554,0.648,424.0,86.0,27.0,69.0,97.0,17.0
300,Kawhi Leonard,60,2040,0.496,0.371,0.542,0.854,439.0,199.0,106.0,24.0,121.0,17.0
301,Meyers Leonard,61,878,0.545,0.45,0.626,0.843,233.0,75.0,13.0,9.0,43.0,17.0
302,Jon Leuer,41,402,0.584,0.091,0.637,0.742,97.0,14.0,12.0,4.0,23.0,17.0
303,Caris LeVert,40,1063,0.429,0.312,0.483,0.691,151.0,156.0,42.0,14.0,69.0,17.0
304,Damian Lillard,80,2838,0.444,0.369,0.499,0.912,371.0,551.0,88.0,34.0,212.0,17.0
305,Jeremy Lin,74,1436,0.44,0.294,0.517,0.838,179.0,231.0,47.0,13.0,124.0,17.0
306,Shaun Livingston,64,967,0.519,0.0,0.524,0.784,117.0,114.0,31.0,27.0,38.0,17.0
307,Zach Lofton,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0
308,Kevon Looney,80,1481,0.625,0.1,0.641,0.619,417.0,123.0,46.0,53.0,51.0,17.0
309,Brook Lopez,81,2322,0.452,0.365,0.613,0.842,396.0,98.0,51.0,179.0,82.0,17.0
310,Robin Lopez,74,1606,0.568,0.226,0.589,0.724,286.0,89.0,11.0,78.0,96.0,17.0
311,Kevin Love,22,598,0.385,0.361,0.412,0.904,239.0,48.0,6.0,5.0,42.0,17.0
312,Kyle Lowry,65,2213,0.411,0.347,0.514,0.83,312.0,564.0,91.0,31.0,182.0,17.0
313,Jordan Loyd,12,55,0.444,0.5,0.4,0.818,9.0,6.0,0.0,0.0,2.0,17.0
314,Kalin Lucas,1,6,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,17.0
315,Timothé Luwawu-Cabarrot,50,669,0.376,0.31,0.451,0.756,97.0,26.0,19.0,8.0,21.0,17.0
316,Tyler Lydon,25,94,0.5,0.4,0.625,0.333,18.0,6.0,2.0,0.0,4.0,17.0
317,Trey Lyles,64,1120,0.418,0.255,0.529,0.698,246.0,87.0,30.0,23.0,68.0,17.0
318,Scott Machado,4,19,0.667,1.0,0.6,1.0,0.0,3.0,1.0,0.0,0.0,17.0
319,Shelvin Mack,57,1246,0.404,0.354,0.429,0.69,104.0,183.0,47.0,4.0,66.0,17.0
320,Daryl Macon,8,90,0.37,0.455,0.313,0.571,12.0,7.0,1.0,0.0,6.0,17.0
321,J.P. Macura,2,17,0.333,0.0,0.6,0.0,3.0,2.0,0.0,0.0,0.0,17.0
322,Ian Mahinmi,34,498,0.452,0.188,0.5,0.689,128.0,25.0,25.0,16.0,21.0,17.0
323,Thon Maker,64,972,0.407,0.32,0.522,0.667,202.0,45.0,21.0,51.0,33.0,17.0
324,Boban Marjanović,58,681,0.615,0.4,0.624,0.748,265.0,54.0,16.0,27.0,59.0,17.0
325,Lauri Markkanen,52,1682,0.43,0.361,0.479,0.872,470.0,75.0,37.0,33.0,85.0,17.0
326,Jarell Martin,42,328,0.413,0.351,0.489,0.818,73.0,18.0,3.0,8.0,11.0,17.0
327,Frank Mason III,38,435,0.42,0.219,0.543,0.684,43.0,84.0,16.0,4.0,36.0,17.0
328,Yante Maten,2,13,0.25,0.0,0.333,0.0,3.0,0.0,1.0,0.0,0.0,17.0
329,Wesley Matthews,69,2091,0.4,0.372,0.437,0.81,170.0,160.0,54.0,17.0,91.0,17.0
330,Luc Mbah a Moute,4,61,0.444,0.333,0.5,0.4,7.0,2.0,1.0,1.0,2.0,17.0
331,Tahjere McCall,1,8,0.667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
332,Patrick McCaw,29,397,0.413,0.321,0.486,0.867,48.0,29.0,23.0,2.0,17.0,17.0
333,CJ McCollum,70,2375,0.459,0.375,0.506,0.828,282.0,207.0,55.0,28.0,106.0,17.0
334,T.J. McConnell,76,1470,0.525,0.333,0.546,0.784,174.0,258.0,79.0,17.0,91.0,17.0
335,Doug McDermott,77,1340,0.491,0.408,0.569,0.835,109.0,67.0,18.0,8.0,42.0,17.0
336,JaVale McGee,75,1671,0.624,0.083,0.634,0.632,566.0,52.0,47.0,148.0,108.0,17.0
337,Rodney McGruder,66,1550,0.403,0.351,0.453,0.722,238.0,112.0,36.0,12.0,64.0,17.0
338,Alfonzo McKinnie,72,1003,0.487,0.356,0.586,0.563,247.0,31.0,18.0,15.0,30.0,17.0
339,Ben McLemore,19,158,0.391,0.415,0.348,0.667,17.0,4.0,6.0,3.0,5.0,17.0
340,Jordan McRae,27,333,0.469,0.286,0.537,0.8,40.0,30.0,13.0,7.0,15.0,17.0
341,Jodie Meeks,8,104,0.538,0.444,0.619,1.0,12.0,8.0,1.0,1.0,2.0,17.0
342,Salah Mejri,36,399,0.491,0.324,0.564,0.625,131.0,35.0,10.0,26.0,21.0,17.0
343,De'Anthony Melton,50,984,0.391,0.305,0.441,0.75,134.0,159.0,68.0,23.0,75.0,17.0
344,Chimezie Metu,29,145,0.328,0.0,0.339,0.765,36.0,13.0,6.0,2.0,15.0,17.0
345,Khris Middleton,77,2393,0.441,0.378,0.485,0.837,461.0,331.0,80.0,7.0,174.0,17.0
346,C.J. Miles,53,856,0.36,0.33,0.417,0.828,95.0,36.0,26.0,15.0,30.0,17.0
347,Darius Miller,69,1757,0.39,0.365,0.467,0.789,128.0,146.0,40.0,23.0,59.0,17.0
348,Malcolm Miller,10,67,0.423,0.476,0.2,0.75,5.0,1.0,1.0,1.0,1.0,17.0
349,Patty Mills,82,1908,0.425,0.394,0.475,0.854,182.0,245.0,49.0,10.0,93.0,17.0
350,Paul Millsap,70,1895,0.484,0.365,0.522,0.727,505.0,141.0,83.0,54.0,95.0,17.0
351,Shake Milton,20,268,0.391,0.318,0.465,0.714,35.0,18.0,8.0,8.0,6.0,17.0
352,Nikola Mirotić,46,1245,0.439,0.365,0.545,0.847,339.0,55.0,31.0,34.0,48.0,17.0
353,Donovan Mitchell,77,2598,0.432,0.362,0.468,0.806,316.0,322.0,106.0,31.0,218.0,17.0
354,Naz Mitrou-Long,14,84,0.3,0.182,0.444,1.0,6.0,15.0,1.0,1.0,8.0,17.0
355,Malik Monk,73,1258,0.387,0.33,0.461,0.882,137.0,117.0,37.0,19.0,86.0,17.0
356,Greg Monroe,43,480,0.487,0.2,0.495,0.625,172.0,24.0,14.0,8.0,32.0,17.0
357,E'Twaun Moore,53,1463,0.481,0.432,0.506,0.763,127.0,102.0,40.0,8.0,59.0,17.0
358,Eric Moreland,5,43,0.429,1.0,0.333,0.0,20.0,4.0,1.0,1.0,5.0,17.0
359,Jaylen Morris,4,29,0.4,0.333,0.429,0.5,5.0,4.0,2.0,0.0,1.0,17.0
360,Marcus Morris,75,2091,0.447,0.375,0.508,0.844,458.0,109.0,43.0,25.0,92.0,17.0
361,Markieff Morris,58,1270,0.421,0.335,0.484,0.772,265.0,79.0,36.0,22.0,54.0,17.0
362,Monte Morris,82,1970,0.493,0.414,0.531,0.802,194.0,297.0,73.0,4.0,52.0,17.0
363,Donatas Motiejūnas,3,13,0.5,0.0,0.5,0.0,3.0,1.0,0.0,1.0,3.0,17.0
364,Johnathan Motley,22,156,0.534,0.0,0.557,0.6,51.0,11.0,5.0,3.0,16.0,17.0
365,Emmanuel Mudiay,59,1607,0.446,0.329,0.492,0.774,196.0,228.0,43.0,19.0,140.0,17.0
366,Jamal Murray,75,2447,0.437,0.367,0.476,0.848,317.0,363.0,67.0,27.0,158.0,17.0
367,Džanan Musa,9,39,0.409,0.1,0.667,0.0,5.0,2.0,2.0,0.0,4.0,17.0
368,Mike Muscala,64,1306,0.402,0.348,0.533,0.824,244.0,76.0,22.0,38.0,48.0,17.0
369,Sviatoslav Mykhailiuk,42,440,0.329,0.326,0.333,0.6,36.0,37.0,14.0,1.0,21.0,17.0
370,Abdel Nader,61,694,0.423,0.32,0.513,0.75,116.0,20.0,20.0,12.0,26.0,17.0
371,Larry Nance Jr.,67,1795,0.52,0.337,0.567,0.716,552.0,214.0,100.0,40.0,97.0,17.0
372,Shabazz Napier,56,983,0.389,0.333,0.449,0.833,100.0,143.0,41.0,16.0,66.0,17.0
373,Raul Neto,37,474,0.46,0.333,0.535,0.848,62.0,93.0,14.0,4.0,35.0,17.0
374,Georges Niang,59,516,0.475,0.41,0.566,0.833,87.0,35.0,10.0,6.0,23.0,17.0
375,Joakim Noah,42,693,0.516,0.0,0.519,0.716,238.0,89.0,20.0,31.0,50.0,17.0
376,Nerlens Noel,77,1055,0.587,0.0,0.587,0.684,325.0,45.0,66.0,96.0,48.0,17.0
377,Dirk Nowitzki,51,795,0.359,0.312,0.415,0.78,158.0,35.0,9.0,18.0,18.0,17.0
378,Frank Ntilikina,43,904,0.337,0.287,0.371,0.767,87.0,121.0,30.0,14.0,56.0,17.0
379,James Nunnally,15,102,0.353,0.32,0.444,1.0,5.0,7.0,1.0,0.0,1.0,17.0
380,Jusuf Nurkić,72,1974,0.508,0.103,0.523,0.773,748.0,233.0,71.0,103.0,168.0,17.0
381,David Nwaba,51,984,0.481,0.32,0.545,0.682,163.0,54.0,36.0,17.0,29.0,17.0
382,Royce O'Neale,82,1671,0.475,0.386,0.569,0.762,285.0,124.0,54.0,24.0,70.0,17.0
383,Kyle O'Quinn,45,371,0.507,0.083,0.548,0.81,119.0,56.0,9.0,25.0,31.0,17.0
384,Semi Ojeleye,56,594,0.424,0.315,0.565,0.615,86.0,23.0,10.0,4.0,19.0,17.0
385,Jahlil Okafor,59,935,0.586,0.2,0.591,0.663,278.0,40.0,15.0,40.0,52.0,17.0
386,Elie Okobo,53,958,0.393,0.295,0.475,0.787,98.0,127.0,32.0,7.0,69.0,17.0
387,Josh Okogie,74,1757,0.386,0.279,0.464,0.728,218.0,91.0,88.0,33.0,63.0,17.0
388,Victor Oladipo,36,1147,0.423,0.343,0.47,0.73,202.0,186.0,60.0,11.0,82.0,17.0
389,Kelly Olynyk,79,1812,0.463,0.354,0.604,0.822,375.0,140.0,53.0,37.0,114.0,17.0
390,Cedi Osman,76,2444,0.427,0.348,0.489,0.779,357.0,195.0,60.0,11.0,114.0,17.0
391,Kelly Oubre Jr.,69,1935,0.445,0.32,0.53,0.775,325.0,84.0,84.0,59.0,103.0,17.0
392,Zaza Pachulia,68,878,0.44,0.0,0.45,0.782,265.0,91.0,31.0,17.0,57.0,17.0
393,Jabari Parker,64,1724,0.493,0.313,0.556,0.712,421.0,152.0,46.0,30.0,151.0,17.0
394,Tony Parker,56,1003,0.46,0.255,0.485,0.734,83.0,207.0,21.0,7.0,75.0,17.0
395,Chandler Parsons,25,496,0.374,0.309,0.443,0.88,70.0,43.0,19.0,5.0,32.0,17.0
396,Patrick Patterson,63,861,0.374,0.336,0.439,0.633,147.0,31.0,16.0,13.0,22.0,17.0
397,Justin Patton,3,21,0.286,0.0,0.4,0.5,6.0,3.0,2.0,0.0,0.0,17.0
398,Chris Paul,58,1857,0.419,0.358,0.479,0.862,265.0,473.0,114.0,18.0,152.0,17.0
399,Cameron Payne,40,712,0.43,0.298,0.511,0.805,72.0,106.0,28.0,9.0,45.0,17.0
400,Elfrid Payton,42,1250,0.434,0.314,0.476,0.743,220.0,320.0,44.0,17.0,112.0,17.0
401,Gary Payton II,3,16,0.625,0.5,0.667,0.0,2.0,4.0,3.0,1.0,1.0,17.0
402,Theo Pinson,18,211,0.342,0.261,0.481,0.864,36.0,21.0,6.0,0.0,18.0,17.0
403,Mason Plumlee,82,1731,0.593,0.2,0.602,0.561,524.0,243.0,66.0,76.0,126.0,17.0
404,Miles Plumlee,18,173,0.667,0.0,0.667,0.533,39.0,17.0,6.0,4.0,10.0,17.0
405,Jakob Poeltl,77,1273,0.645,0.0,0.645,0.533,410.0,93.0,29.0,68.0,48.0,17.0
406,Quincy Pondexter,53,292,0.5,0.333,0.575,0.81,46.0,24.0,11.0,1.0,13.0,17.0
407,Otto Porter,56,1683,0.465,0.406,0.504,0.813,314.0,120.0,82.0,31.0,65.0,17.0
408,Bobby Portis,50,1299,0.444,0.393,0.467,0.794,403.0,72.0,35.0,20.0,74.0,17.0
409,Dwight Powell,77,1662,0.597,0.307,0.699,0.772,411.0,112.0,44.0,50.0,67.0,17.0
410,Norman Powell,60,1126,0.483,0.4,0.543,0.827,139.0,91.0,39.0,13.0,65.0,17.0
411,Alex Poythress,21,305,0.494,0.391,0.534,0.621,76.0,17.0,4.0,10.0,13.0,17.0
412,Taurean Prince,55,1552,0.441,0.39,0.498,0.819,199.0,118.0,53.0,19.0,100.0,17.0
413,Zhou Qi,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
414,Ivan Rabb,49,721,0.547,0.2,0.574,0.71,206.0,54.0,17.0,14.0,35.0,17.0
415,Chasson Randle,49,743,0.419,0.4,0.441,0.694,56.0,97.0,25.0,3.0,43.0,17.0
416,Julius Randle,73,2232,0.524,0.344,0.564,0.731,634.0,229.0,52.0,45.0,208.0,17.0
417,J.J. Redick,76,2379,0.44,0.397,0.502,0.894,186.0,206.0,32.0,17.0,101.0,17.0
418,Davon Reed,10,47,0.417,0.5,0.375,0.0,6.0,3.0,1.0,0.0,1.0,17.0
419,Cameron Reynolds,19,259,0.423,0.412,0.444,0.889,31.0,13.0,6.0,2.0,5.0,17.0
420,Josh Richardson,73,2539,0.412,0.357,0.458,0.861,263.0,298.0,79.0,34.0,113.0,17.0
421,Malachi Richardson,22,103,0.31,0.32,0.25,0.8,13.0,0.0,1.0,0.0,8.0,17.0
422,Austin Rivers,76,2028,0.406,0.318,0.522,0.526,162.0,167.0,47.0,23.0,68.0,17.0
423,Devin Robinson,7,95,0.594,0.0,0.633,0.643,20.0,6.0,4.0,6.0,2.0,17.0
424,Duncan Robinson,15,161,0.391,0.286,0.727,0.667,19.0,5.0,5.0,0.0,4.0,17.0
425,Glenn Robinson III,47,610,0.42,0.29,0.491,0.8,71.0,21.0,14.0,8.0,18.0,17.0
426,Jerome Robinson,33,320,0.4,0.316,0.491,0.667,41.0,19.0,11.0,3.0,13.0,17.0
427,Mitchell Robinson,66,1360,0.694,0.0,0.694,0.6,423.0,37.0,52.0,161.0,35.0,17.0
428,Rajon Rondo,46,1369,0.405,0.359,0.428,0.639,243.0,367.0,57.0,7.0,127.0,17.0
429,Derrick Rose,51,1392,0.482,0.37,0.509,0.856,140.0,220.0,31.0,12.0,82.0,17.0
430,Terrence Ross,81,2150,0.428,0.383,0.484,0.875,280.0,135.0,72.0,29.0,90.0,17.0
431,Terry Rozier,79,1791,0.387,0.353,0.422,0.785,307.0,231.0,68.0,21.0,68.0,17.0
432,Ricky Rubio,68,1899,0.404,0.311,0.454,0.855,243.0,416.0,91.0,10.0,180.0,17.0
433,D'Angelo Russell,81,2448,0.434,0.369,0.482,0.78,315.0,563.0,100.0,20.0,253.0,17.0
434,Domantas Sabonis,74,1838,0.59,0.529,0.592,0.715,690.0,212.0,48.0,30.0,160.0,17.0
435,Brandon Sampson,14,214,0.467,0.379,0.548,0.667,16.0,10.0,8.0,3.0,12.0,17.0
436,JaKarr Sampson,4,127,0.537,0.357,0.6,0.81,32.0,4.0,4.0,3.0,4.0,17.0
437,Dario Šarić,81,2023,0.437,0.365,0.499,0.88,457.0,127.0,45.0,9.0,97.0,17.0
438,Tomáš Satoranský,80,2164,0.485,0.395,0.524,0.819,279.0,399.0,82.0,13.0,120.0,17.0
439,Dennis Schröder,79,2314,0.414,0.341,0.45,0.819,284.0,323.0,65.0,12.0,172.0,17.0
440,Mike Scott,79,1395,0.4,0.401,0.399,0.667,276.0,66.0,26.0,13.0,44.0,17.0
441,Thabo Sefolosha,50,609,0.477,0.436,0.521,0.636,123.0,27.0,43.0,5.0,25.0,17.0
442,Wayne Selden,75,1439,0.406,0.316,0.456,0.728,180.0,109.0,33.0,13.0,79.0,17.0
443,Collin Sexton,82,2605,0.43,0.402,0.44,0.839,236.0,243.0,44.0,6.0,185.0,17.0
444,Landry Shamet,79,1802,0.431,0.422,0.453,0.806,134.0,117.0,37.0,10.0,45.0,17.0
445,Iman Shumpert,62,1481,0.374,0.348,0.416,0.8,183.0,112.0,59.0,24.0,50.0,17.0
446,Pascal Siakam,80,2548,0.549,0.369,0.602,0.785,549.0,248.0,73.0,52.0,154.0,17.0
447,Jordan Sibert,1,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
448,Ben Simmons,79,2700,0.563,0.0,0.566,0.6,697.0,610.0,112.0,61.0,274.0,17.0
449,Jonathon Simmons,56,1064,0.38,0.269,0.427,0.742,126.0,128.0,29.0,15.0,68.0,17.0
450,Kobi Simmons,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
451,Anfernee Simons,20,141,0.444,0.345,0.529,0.563,13.0,13.0,1.0,0.0,11.0,17.0
452,Marcus Smart,80,2200,0.422,0.364,0.511,0.806,234.0,321.0,143.0,28.0,123.0,17.0
453,Dennis Smith Jr.,53,1508,0.428,0.322,0.477,0.635,155.0,252.0,67.0,20.0,154.0,17.0
454,Ish Smith,56,1251,0.419,0.326,0.455,0.758,145.0,203.0,28.0,11.0,61.0,17.0
455,J.R. Smith,11,222,0.342,0.308,0.375,0.8,18.0,21.0,11.0,3.0,11.0,17.0
456,Jason Smith,20,190,0.356,0.346,0.364,0.875,52.0,14.0,3.0,7.0,13.0,17.0
457,Zhaire Smith,6,111,0.412,0.375,0.444,0.75,13.0,10.0,2.0,2.0,6.0,17.0
458,Tony Snell,74,1304,0.452,0.397,0.522,0.881,157.0,68.0,26.0,18.0,23.0,17.0
459,Ray Spalding,14,148,0.532,0.0,0.568,0.333,48.0,5.0,9.0,8.0,9.0,17.0
460,Omari Spellman,46,805,0.402,0.344,0.466,0.711,194.0,47.0,26.0,25.0,31.0,17.0
461,Nik Stauskas,68,1015,0.402,0.372,0.44,0.891,127.0,81.0,21.0,7.0,51.0,17.0
462,D.J. Stephens,1,7,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,17.0
463,Lance Stephenson,68,1123,0.426,0.371,0.472,0.685,215.0,140.0,41.0,7.0,86.0,17.0
464,Edmond Sumner,23,210,0.344,0.259,0.405,0.625,24.0,10.0,12.0,5.0,10.0,17.0
465,Caleb Swanigan,21,178,0.34,0.143,0.37,0.667,64.0,11.0,6.0,1.0,18.0,17.0
466,Jayson Tatum,79,2455,0.45,0.373,0.483,0.855,477.0,168.0,84.0,57.0,122.0,17.0
467,Jeff Teague,42,1264,0.423,0.333,0.453,0.804,106.0,343.0,43.0,18.0,97.0,17.0
468,Garrett Temple,75,2040,0.422,0.341,0.515,0.748,216.0,106.0,76.0,30.0,70.0,17.0
469,Miloš Teodosić,15,150,0.425,0.37,0.538,0.571,16.0,32.0,3.0,1.0,21.0,17.0
470,Jared Terrell,14,111,0.308,0.235,0.364,0.5,6.0,12.0,3.0,2.0,10.0,17.0
471,Emanuel Terry,3,23,0.571,0.0,0.571,0.5,7.0,2.0,3.0,0.0,2.0,17.0
472,Daniel Theis,66,908,0.549,0.388,0.603,0.737,225.0,68.0,21.0,42.0,33.0,17.0
473,Isaiah Thomas,12,181,0.343,0.279,0.393,0.63,13.0,23.0,5.0,1.0,18.0,17.0
474,Khyri Thomas,26,195,0.319,0.286,0.353,0.636,20.0,8.0,7.0,5.0,4.0,17.0
475,Lance Thomas,46,783,0.396,0.278,0.475,0.75,117.0,27.0,17.0,7.0,24.0,17.0
476,Klay Thompson,78,2652,0.467,0.402,0.516,0.816,299.0,186.0,84.0,47.0,115.0,17.0
477,Tristan Thompson,43,1198,0.529,0.0,0.529,0.642,438.0,86.0,28.0,16.0,59.0,17.0
478,Sindarius Thornwell,64,313,0.347,0.2,0.412,0.735,44.0,18.0,14.0,7.0,20.0,17.0
479,Anthony Tolliver,65,1079,0.382,0.377,0.409,0.783,177.0,46.0,17.0,21.0,36.0,17.0
480,Karl-Anthony Towns,77,2545,0.518,0.4,0.562,0.836,954.0,259.0,67.0,125.0,240.0,17.0
481,Gary Trent Jr.,15,111,0.32,0.238,0.379,0.429,11.0,5.0,1.0,2.0,4.0,17.0
482,Allonzo Trier,64,1459,0.448,0.394,0.466,0.803,197.0,119.0,28.0,14.0,116.0,17.0
483,P.J. Tucker,82,2802,0.396,0.377,0.449,0.695,479.0,96.0,132.0,39.0,63.0,17.0
484,Evan Turner,73,1605,0.46,0.212,0.494,0.708,328.0,283.0,33.0,18.0,114.0,17.0
485,Myles Turner,74,2119,0.487,0.388,0.521,0.736,531.0,115.0,60.0,199.0,100.0,17.0
486,Ekpe Udoh,51,320,0.694,0.0,0.694,0.633,90.0,28.0,10.0,31.0,13.0,17.0
487,Tyler Ulis,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
488,Jonas Valančiūnas,49,1091,0.559,0.292,0.586,0.795,419.0,70.0,19.0,53.0,90.0,17.0
489,Jarred Vanderbilt,17,69,0.474,0.0,0.5,0.6,23.0,3.0,6.0,1.0,8.0,17.0
490,Fred VanVleet,64,1760,0.41,0.378,0.441,0.843,167.0,307.0,57.0,20.0,82.0,17.0
491,Noah Vonleh,68,1722,0.47,0.336,0.531,0.712,528.0,129.0,46.0,51.0,88.0,17.0
492,Nikola Vučević,80,2510,0.518,0.364,0.549,0.789,960.0,307.0,81.0,89.0,159.0,17.0
493,Dwyane Wade,72,1885,0.433,0.33,0.472,0.708,285.0,301.0,59.0,38.0,166.0,17.0
494,Moritz Wagner,43,446,0.415,0.286,0.521,0.811,85.0,24.0,11.0,13.0,39.0,17.0
495,Dion Waiters,44,1138,0.414,0.377,0.471,0.5,116.0,121.0,29.0,9.0,64.0,17.0
496,Kemba Walker,82,2863,0.434,0.356,0.494,0.844,361.0,484.0,102.0,34.0,211.0,17.0
497,Lonnie Walker,17,118,0.348,0.385,0.333,0.8,17.0,9.0,7.0,3.0,4.0,17.0
498,John Wall,32,1104,0.444,0.302,0.507,0.697,116.0,279.0,49.0,29.0,121.0,17.0
499,Tyrone Wallace,62,628,0.424,0.211,0.444,0.526,101.0,42.0,21.0,7.0,36.0,17.0
500,Brad Wanamaker,36,343,0.476,0.41,0.515,0.857,41.0,56.0,12.0,2.0,19.0,17.0
501,T.J. Warren,43,1360,0.486,0.428,0.51,0.815,174.0,64.0,51.0,29.0,52.0,17.0
